State           Win Chance      Roll 2          Roll 3          Roll 4          Roll 5          Roll 6          Roll 7          Roll 8          Roll 9          Roll 10         Roll 11         Roll 12        
000000000000    1.00000         None            None            None            None            None            None            None            None            None            None            None           
000000000001    0.00000         None            None            None            None            None            None            None            None            None            None            None           
000000000010    0.02778         [2]             None            None            None            None            None            None            None            None            None            None           
000000000011    0.05556         [2]             [1, 2]          None            None            None            None            None            None            None            None            None           
000000000100    0.05556         None            [3]             None            None            None            None            None            None            None            None            None           
000000000101    0.08333         None            [3]             [1, 3]          None            None            None            None            None            None            None            None           
000000000110    0.11420         [2]             [3]             None            [2, 3]          None            None            None            None            None            None            None           
000000000111    0.00772         [2]             [1, 2]          [1, 3]          [2, 3]          None            None            None            None            None            None            None           
000000001000    0.08333         None            None            [4]             None            None            None            None            None            None            None            None           
000000001001    0.11111         None            None            [4]             [1, 4]          None            None            None            None            None            None            None           
000000001010    0.14352         [2]             None            [4]             None            [2, 4]          None            None            None            None            None            None           
000000001011    0.01543         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          None            None            None            None            None            None           
000000001100    0.17593         None            [3]             [4]             None            None            [3, 4]          None            None            None            None            None           
000000001101    0.01929         None            [3]             [1, 3]          [1, 4]          None            [3, 4]          None            None            None            None            None           
000000001110    0.04398         [2]             [3]             [4]             [2, 3]          [2, 4]          [3, 4]          None            None            None            None            None           
000000001111    0.05579         [2]             [1, 2]          [1, 3]          [1, 4]          [2, 4]          [3, 4]          None            None            None            None            None           
000000010000    0.11111         None            None            None            [5]             None            None            None            None            None            None            None           
000000010001    0.13889         None            None            None            [5]             [1, 5]          None            None            None            None            None            None           
000000010010    0.17284         [2]             None            None            [5]             None            [2, 5]          None            None            None            None            None           
000000010011    0.02006         [2]             [1, 2]          None            [5]             [1, 5]          [2, 5]          None            None            None            None            None           
000000010100    0.15123         None            [3]             None            [5]             None            None            [3, 5]          None            None            None            None           
000000010101    0.03395         None            [3]             [1, 3]          [5]             [1, 5]          None            [3, 5]          None            None            None            None           
000000010110    0.03961         [2]             [3]             None            [5]             None            [2, 5]          [3, 5]          None            None            None            None           
000000010111    0.07665         [2]             [1, 2]          [1, 3]          [2, 3]          [1, 5]          [2, 5]          [3, 5]          None            None            None            None           
000000011000    0.12963         None            None            [4]             [5]             None            None            None            [4, 5]          None            None            None           
000000011001    0.03549         None            None            [4]             [1, 4]          [1, 5]          None            None            [4, 5]          None            None            None           
000000011010    0.06636         [2]             None            [4]             [5]             [2, 4]          [2, 5]          None            [4, 5]          None            None            None           
000000011011    0.07369         [2]             [1, 2]          [4]             [1, 4]          [1, 5]          [2, 5]          None            [4, 5]          None            None            None           
000000011100    0.07562         None            [3]             [4]             [5]             None            [3, 4]          [3, 5]          [4, 5]          None            None            None           
000000011101    0.10185         None            [3]             [1, 3]          [1, 4]          [1, 5]          [3, 4]          [3, 5]          [4, 5]          None            None            None           
000000011110    0.10644         [2]             [3]             [4]             [2, 3]          [2, 4]          [2, 5]          [3, 5]          [4, 5]          None            None            None           
000000011111    0.03207         [2]             [1, 2]          [4]             [5]             [1, 5]          [3, 4]          [3, 5]          [4, 5]          None            None            None           
000000100000    0.13889         None            None            None            None            [6]             None            None            None            None            None            None           
000000100001    0.16667         None            None            None            None            [6]             [1, 6]          None            None            None            None            None           
000000100010    0.14660         [2]             None            None            None            [6]             None            [2, 6]          None            None            None            None           
000000100011    0.02469         [2]             [1, 2]          None            None            [6]             [1, 6]          [2, 6]          None            None            None            None           
000000100100    0.12654         None            [3]             None            None            [6]             None            None            [3, 6]          None            None            None           
000000100101    0.04167         None            [3]             [1, 3]          None            [6]             [1, 6]          None            [3, 6]          None            None            None           
000000100110    0.05376         [2]             [3]             None            [2, 3]          [6]             None            [2, 6]          [3, 6]          None            None            None           
000000100111    0.07677         [2]             [1, 2]          [1, 3]          [2, 3]          [6]             [1, 6]          [2, 6]          [3, 6]          None            None            None           
000000101000    0.10648         None            None            [4]             None            [6]             None            None            None            [4, 6]          None            None           
000000101001    0.05864         None            None            [4]             [1, 4]          [6]             [1, 6]          None            None            [4, 6]          None            None           
000000101010    0.04900         [2]             None            [4]             None            [6]             None            [2, 6]          None            [4, 6]          None            None           
000000101011    0.09302         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          [1, 6]          [2, 6]          None            [4, 6]          None            None           
000000101100    0.07793         None            [3]             [4]             None            [6]             [3, 4]          None            [3, 6]          [4, 6]          None            None           
000000101101    0.07748         None            [3]             [1, 3]          [1, 4]          [6]             [1, 6]          None            [3, 6]          [4, 6]          None            None           
